name,subtext,price,rating,stock
La Trappe Quadrupel,Quadrupel Beer | 10.0% | 33 cl,£ 42.99,(4.00),In stock
Leffe Bruin,Dubbel Beer | 6.5% | 30 cl,£ 42.99,(3.64),In stock
Delirium Tremens,Blond Beer | 8.5% | 33 cl,£ 40.99,(3.94),In stock
De Koninck Triple D'Anvers,Tripel Beer | 8.0% | 33 cl,£ 43.99,(3.64),In stock
Ninkasi Pale Ale,Amber & Red Ale | 4.5% | 33 cl,£ 41.99,(3.43),In stock
Maisel & Friends Hoppy Hell,Lager | 5.3% | 33 cl,£ 36.99,(3.76),In stock
Bush Caractère,Quadrupel Beer | 12.0% | 33 cl,£ 42.99,(3.69),In stock
Beavertown Lupuloid,IPA | 6.7% | 33 cl,£ 41.99,,Out of stock
Force Majeure Traditional Blond,Blond Beer | 0.4% | 33 cl,£ 34.99,(3.30),Out of stock
Brussels Beer Project Delta Ipa,IPA | 6.0% | 33 cl,£ 32.99,(3.73),In stock
Lefort Tripel,Tripel Beer | 8.8% | 33 cl,£ 43.99,(3.74),In stock
Gulpener Château Neubourg,Pilsner & Hoppy Lager | 5.5% | 33 cl,£ 36.99,(3.26),In stock
Beavertown Gamma Ray,Pale Ale | 5.4% | 33 cl,£ 33.99,(3.90),In stock
Westmalle Tripel,Tripel Beer | 9.5% | 33 cl,£ 59.99,(3.93),In stock
Liefmans Goudenband,Sour Beer | 8.0% | 33 cl,£ 41.99,(3.83),Out of stock
Affligem Blond,Blond Beer | 6.8% | 30 cl,£ 34.99,(3.76),In stock
La Cristal IPA du Mont Blanc,IPA | 4.7% | 33 cl,£ 41.99,(3.44),Out of stock
Houblon Chouffe,IPA | 9.0% | 33 cl,£ 43.99,(3.79),In stock
Duvel Tripel Hop,Blond Beer | 9.5% | 33 cl,£ 42.99,(3.77),In stock
Fourpure Base Camp Pils Lager,Pilsner & Hoppy Lager | 4.7% | 33 cl,£ 39.99,(3.29),Out of stock
Erdinger Alcohol vrij,German Wheat Beer | 0.5% | 33 cl,£ 34.99,(2.80),Out of stock
Paljas IPA,IPA | 6.0% | 33 cl,£ 41.99,(3.47),Out of stock
Kompaan Bloedbroeder,Porter & Stout | 9.1% | 33 cl,£ 38.99,(3.58),Out of stock
La Trappe Witte Trappist,White Beer | 5.5% | 33 cl,£ 36.99,(3.64),Out of stock
Boon Oude Kriek,Sour Beer | 6.5% | 38 cl,£ 41.99,(3.65),Out of stock
Brand IPA,IPA | 7.0% | 30 cl,£ 41.99,(3.41),Out of stock
"Budels Malty Dark 0,0%",Bock Beer | 0.0% | 30 cl,£ 34.99,(1.85),Out of stock
St. Feuillien Five,Blond Beer | 5.0% | 33 cl,£ 37.99,(3.02),Out of stock
Chimay Wit,Tripel Beer | 8.0% | 33 cl,£ 36.99,(3.81),Out of stock
Palm 0.0,Pale Ale | 0.0% | 25 cl,£ 34.99,(2.06),Out of stock
Lowlander 0% Wit,White Beer | 0.0% | 33 cl,£ 34.99,(3.16),Out of stock
Duchesse De Bourgogne,Sour Beer | 6.2% | 25 cl,£ 41.99,(3.80),Out of stock
Grisette Triple Bio,Tripel Beer | 8.0% | 25 cl,£ 41.99,(3.67),Out of stock
Ninkasi Brut IPA,IPA | 5.6% | 33 cl,£ 41.99,(3.36),Out of stock
Delirium Argentum,Blond Beer | 7.0% | 33 cl,£ 41.99,(3.70),Out of stock
Ename Blond,Blond Beer | 6.5% | 33 cl,£ 36.99,(3.44),Out of stock
Saison De Silly,Saison Beer | 5.0% | 33 cl,£ 41.99,(3.32),Out of stock
Fourpure Last Train Oatmeal Stout,Porter & Stout | 5.1% | 33 cl,£ 39.99,(3.63),Out of stock
Murphy's Irish Stout,Porter & Stout | 4.0% | 50 cl,£ 59.76,(3.51),Out of stock
Fourpure Easy Peeler Session IPA,IPA | 4.0% | 33 cl,£ 39.99,(3.49),Out of stock
Kompaan Bondgenoot,Pale Ale | 5.2% | 33 cl,£ 38.99,(3.32),Out of stock
Brothers in Law 0.5 Hoppy Lager,Pilsner & Hoppy Lager | 0.5% | 33 cl,£ 34.99,(3.40),Out of stock
Fourpure Hemisphere Session IPA,IPA | 4.2% | 33 cl,£ 39.99,(3.48),Out of stock
Steenbrugge Dubbel,Dubbel Beer | 6.5% | 33 cl,£ 36.99,(3.45),Out of stock
Grisette Blond Gluten Free,Blond Beer | 5.5% | 25 cl,£ 37.99,(3.02),Out of stock
vandeStreek Playground IPA Alcoholvrij,IPA | 0.5% | 33 cl,£ 34.99,,Out of stock
Brand Weizen 0.0,German Wheat Beer | 0.0% | 30 cl,£ 34.99,(2.96),Out of stock
Gallia Session IPA,IPA | 4.3% | 33 cl,£ 41.99,(3.61),Out of stock
BrewDog Punk AF,Pale Ale | 0.5% | 33 cl,£ 34.99,(3.12),Out of stock
Steamworks Flagship IPA,IPA | 6.7% | 33 cl,£ 41.99,(3.95),Out of stock
Lagunitas A Little Sumpin' Sumpin',IPA | 7.5% | 36 cl,£ 69.36,(3.87),Out of stock
Stone Go To IPA,IPA | 4.7% | 36 cl,£ 41.99,(3.74),Out of stock
Fourpure Juicebox Citrus IPA,IPA | 5.9% | 33 cl,£ 39.99,(3.82),Out of stock
Affligem Blond 0.0%,Blond Beer | 0.0% | 30 cl,£ 34.99,(2.84),Out of stock
Paulaner Hefe Weissbier Alcoholvrij,German Wheat Beer | 0.5% | 33 cl,£ 34.99,(2.67),Out of stock
Vedett Extra Ordinary IPA,IPA | 5.5% | 33 cl,£ 41.99,(3.56),Out of stock
Kompaan Handlanger,IPA | 8.2% | 33 cl,£ 38.99,(3.69),Out of stock
